txn_id,card_holder_id,txn_amount,txn_currency,txn_status,merchant_name,card_last4,mcc,txn_epoch
CARD-90000,CUST-1178,750.57,AED,SETTLED,IKEA UAE,7674,5712,1780633941
CARD-90001,CUST-1271,645.57,AED,SETTLED,Apple Store UAE,7362,5732,1780355901
CARD-90002,CUST-1259,1819.05,AED,SETTLED,Deliveroo UAE,3039,5814,1781750781
CARD-90003,CUST-1122,3105.19,AED,SETTLED,Deliveroo UAE,1037,5814,1782035181
CARD-90004,CUST-1254,763.53,AED,REVERSED,Careem,9035,4121,1779892101
CARD-90005,CUST-1056,2565.41,AED,SETTLED,Careem,8572,4121,1780770681
CARD-90006,CUST-1016,718.66,EUR,SETTLED,Booking.com,1753,4722,1782364821
CARD-90007,CUST-1198,2568.8,AED,AUTH,IKEA UAE,8026,5712,1781708121
CARD-90008,CUST-1113,201.1,AED,SETTLED,Talabat,1161,5814,1782310881
CARD-90009,CUST-1040,-1968.16,AED,BOGUS,Namshi,0994,5651,1780397361
CARD-90010,CUST-1029,3289.0,AED,SETTLED,Careem,4355,4121,1780856361
CARD-90011,CUST-1110,316.35,AED,SETTLED,Talabat,1591,5814,1781097381
CARD-90012,CUST-1269,761.89,AED,AUTH,Careem,4075,4121,1780209921
CARD-90013,CUST-1212,2998.03,AED,DECLINED,Apple Store UAE,1728,5732,1780192161
CARD-90014,CUST-1218,1837.59,AED,SETTLED,Namshi,2733,5651,1781212581
CARD-90015,CUST-1080,1353.36,AED,SETTLED,Apple Store UAE,9829,5732,1782002721
CARD-90016,CUST-1166,2202.57,AED,SETTLED,Deliveroo UAE,6755,5814,1781497701
CARD-90017,CUST-1123,1297.19,AED,SETTLED,Sharaf DG,8939,5732,1781323881
CARD-90018,CUST-1231,1020.09,AED,SETTLED,Sharaf DG,6505,5732,1779998121
CARD-90019,CUST-1265,-2385.07,USD,BOGUS,AliExpress,4945,5999,1781675241
CARD-90020,CUST-1011,-3423.6,AED,AUTH,Amazon.ae,4521,5999,1781101581
CARD-90021,CUST-1079,3704.06,AED,SETTLED,IKEA UAE,0618,5712,1779823701
CARD-90022,CUST-1298,1471.5,AED,SETTLED,Talabat,3817,5814,1780868421
CARD-90023,CUST-1111,1602.19,AED,DECLINED,IKEA UAE,1264,5712,1780573041
CARD-90024,CUST-1295,1955.66,AED,SETTLED,Noon.com,9752,5942,1779998241
CARD-90025,CUST-1028,318.52,USD,REVERSED,Steam,5478,5816,1781774961
CARD-90026,CUST-1061,3721.33,AED,REVERSED,Careem,3714,4121,1782209961
CARD-90027,CUST-1195,2537.38,AED,SETTLED,Carrefour Dubai,4993,5411,1780266501
CARD-90028,CUST-1257,602.57,AED,AUTH,IKEA UAE,3617,5712,1780011501
CARD-90029,CUST-1294,3884.31,AED,SETTLED,Careem,1475,4121,1782069381
CARD-90030,CUST-1172,596.31,AED,SETTLED,Careem,7796,4121,1781088021
CARD-90031,CUST-1204,1053.92,USD,SETTLED,Steam,7118,5816,1781403021
CARD-90032,CUST-1101,1926.29,AED,SETTLED,Noon.com,6476,5942,1781398281
