transfer_reference,sender_id,receiver_id,value,ccy,state,transfer_type,purpose_code,created_at
TRF-50000,CUST-1010,CUST-1231,12275.87,AED,SUCCESS,P2P,PROPERTY,2026-06-22 20:28:21
TRF-50001,CUST-1108,EXT-IBAN-257,12365.81,AED,SUCCESS,IBAN,GIFT,2026-06-21 06:52:21
TRF-50002,CUST-1024,EXT-IBAN-848,22089.74,AED,SUCCESS,IBAN,GIFT,2026-05-27 22:59:21
TRF-50003,CUST-1035,EXT-IBAN-864,20055.8,AED,SUCCESS,IBAN,PROPERTY,2026-06-02 20:33:21
TRF-50004,CUST-1248,CUST-1243,27582.92,AED,SUCCESS,P2P,RENT,2026-06-11 21:19:21
TRF-50005,CUST-1078,EXT-IBAN-444,3330.0,AED,SUCCESS,IBAN,RENT,2026-05-29 07:35:21
TRF-50006,CUST-1162,CUST-1152,13947.96,AED,SUCCESS,P2P,RENT,2026-05-31 23:14:21
TRF-50007,CUST-1260,EXT-IBAN-406,474.11,AED,SUCCESS,IBAN,RENT,2026-06-12 08:31:21
TRF-50008,CUST-1128,CUST-1293,26653.72,AED,SUCCESS,P2P,SALARY,2026-05-27 21:52:21
TRF-50009,,CUST-1071,21530.95,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-20 03:05:21
TRF-50010,CUST-1046,CUST-1119,15936.86,AED,REVERSED,P2P,FAMILY_SUPPORT,2026-06-11 23:39:21
TRF-50011,CUST-1008,EXT-IBAN-725,25339.3,AED,SUCCESS,IBAN,GIFT,2026-06-04 22:09:21
TRF-50012,CUST-1235,EXT-IBAN-780,16001.08,AED,SUCCESS,IBAN,SPLIT_BILL,2026-05-30 07:27:21
TRF-50013,CUST-1034,CUST-1158,12789.55,AED,SUCCESS,P2P,SALARY,2026-06-06 05:12:21
TRF-50014,CUST-1001,CUST-1103,22650.71,AED,SUCCESS,P2P,PROPERTY,2026-06-18 07:10:21
TRF-50015,CUST-1263,EXT-IBAN-813,8329.79,AED,SUCCESS,IBAN,RENT,2026-05-30 11:20:21
TRF-50016,CUST-1219,CUST-1086,19302.61,AED,FAILED,P2P,PROPERTY,2026-06-01 22:02:21
TRF-50017,CUST-1235,EXT-IBAN-269,14442.94,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-29 03:17:21
TRF-50018,CUST-1001,EXT-IBAN-297,5494.71,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-17 19:58:21
TRF-50019,CUST-1047,CUST-1190,15912.45,AED,REVERSED,P2P,GIFT,2026-06-12 05:02:21
TRF-50020,CUST-1075,CUST-1150,24708.69,AED,SUCCESS,P2P,PROPERTY,2026-06-11 14:23:21
TRF-50021,CUST-1078,CUST-1215,13832.04,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-19 20:45:21
TRF-50022,CUST-1257,CUST-1230,857.9,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-21 07:50:21
TRF-50023,CUST-1219,CUST-1018,8218.34,AED,FAILED,P2P,PROPERTY,2026-06-20 16:51:21
TRF-50024,CUST-1282,EXT-IBAN-156,14007.16,AED,SUCCESS,IBAN,PROPERTY,2026-06-19 19:05:21
TRF-50025,CUST-1227,EXT-IBAN-172,9453.11,AED,SUCCESS,IBAN,PROPERTY,2026-06-24 15:08:21
TRF-50026,CUST-1107,CUST-1231,2035.95,AED,SUCCESS,P2P,GIFT,2026-05-28 17:48:21
TRF-50027,CUST-1297,CUST-1285,15322.34,AED,SUCCESS,P2P,SALARY,2026-05-30 18:34:21
TRF-50028,CUST-1281,CUST-1207,7944.06,AED,SUCCESS,P2P,RENT,2026-06-13 08:43:21
TRF-50029,CUST-1008,CUST-1079,11987.88,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-13 02:39:21
TRF-50030,CUST-1058,CUST-1092,23601.22,AED,SUCCESS,P2P,GIFT,2026-06-20 23:29:21
TRF-50031,CUST-1045,EXT-IBAN-855,24228.04,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-05-26 11:37:21
TRF-50032,CUST-1050,EXT-IBAN-967,4057.76,AED,SUCCESS,IBAN,SALARY,2026-06-10 17:39:21
TRF-50033,CUST-1198,CUST-1205,25501.8,AED,SUCCESS,P2P,GIFT,2026-06-07 17:01:21
TRF-50034,CUST-1067,CUST-1232,23391.11,AED,SUCCESS,P2P,PROPERTY,2026-05-28 22:43:21
TRF-50035,CUST-1140,CUST-1114,15365.86,AED,SUCCESS,P2P,SALARY,2026-06-05 22:03:21
TRF-50036,CUST-1124,EXT-IBAN-147,1374.95,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-11 04:51:21
TRF-50037,CUST-1265,EXT-IBAN-982,25957.69,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-19 13:30:21
TRF-50038,CUST-1249,EXT-IBAN-113,22205.07,AED,REVERSED,IBAN,FAMILY_SUPPORT,2026-06-05 01:10:21
TRF-50039,CUST-1165,CUST-1051,18982.16,AED,INITIATED,P2P,SPLIT_BILL,2026-06-25 06:07:21
TRF-50040,CUST-1065,CUST-1183,15767.69,AED,SUCCESS,P2P,PROPERTY,2026-05-27 03:42:21
TRF-50041,CUST-1140,CUST-1264,8440.69,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-08 22:01:21
TRF-50042,CUST-1039,CUST-1053,9291.63,AED,SUCCESS,P2P,GIFT,2026-06-06 16:14:21
TRF-50043,CUST-1116,CUST-1078,23808.7,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-21 03:18:21
TRF-50044,CUST-1166,EXT-IBAN-216,11836.64,AED,REVERSED,IBAN,PROPERTY,2026-06-14 22:42:21
TRF-50045,CUST-1224,CUST-1298,13537.51,AED,SUCCESS,P2P,PROPERTY,2026-06-18 22:30:21
TRF-50046,CUST-1154,CUST-1118,18845.51,AED,SUCCESS,P2P,RENT,2026-06-15 08:07:21
TRF-50047,CUST-1242,EXT-IBAN-521,8838.66,AED,REVERSED,IBAN,FAMILY_SUPPORT,2026-05-27 07:45:21
TRF-50048,CUST-1218,EXT-IBAN-843,24441.39,AED,SUCCESS,IBAN,RENT,2026-06-12 14:24:21
TRF-50049,CUST-1245,CUST-1163,14983.34,AED,INITIATED,P2P,FAMILY_SUPPORT,2026-06-22 03:28:21
TRF-50050,CUST-1255,EXT-IBAN-696,21207.23,AED,SUCCESS,IBAN,PROPERTY,2026-06-14 11:06:21
TRF-50051,CUST-1119,CUST-1224,11835.41,AED,SUCCESS,P2P,SALARY,2026-05-29 22:55:21
TRF-50052,CUST-1289,CUST-1069,9976.23,AED,SUCCESS,P2P,SALARY,2026-06-01 20:23:21
TRF-50053,CUST-1116,CUST-1116,2759.58,AED,FAILED,P2P,SPLIT_BILL,2026-06-13 22:57:21
TRF-50054,CUST-1130,EXT-IBAN-741,17513.18,AED,SUCCESS,IBAN,GIFT,2026-05-31 02:32:21
TRF-50055,CUST-1149,CUST-1153,25404.44,AED,FAILED,P2P,SPLIT_BILL,2026-06-12 09:49:21
TRF-50056,CUST-1293,CUST-1176,8538.89,AED,SUCCESS,P2P,SALARY,2026-06-16 21:52:21
TRF-50057,CUST-1032,CUST-1217,10133.27,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-05-30 04:44:21
TRF-50058,CUST-1289,CUST-1207,19383.64,AED,SUCCESS,P2P,GIFT,2026-06-22 03:51:21
TRF-50059,CUST-1140,EXT-IBAN-957,11628.79,AED,SUCCESS,IBAN,SALARY,2026-06-02 12:02:21
TRF-50060,CUST-1230,CUST-1249,22091.52,AED,SUCCESS,P2P,PROPERTY,2026-06-01 00:59:21
TRF-50061,CUST-1207,CUST-1274,19125.81,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-08 05:00:21
TRF-50062,CUST-1217,CUST-1077,19050.73,AED,FAILED,P2P,GIFT,2026-06-20 17:18:21
TRF-50063,CUST-1095,EXT-IBAN-824,26726.22,AED,SUCCESS,IBAN,RENT,2026-06-24 10:06:21
TRF-50064,CUST-1212,CUST-1193,28578.77,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-17 22:19:21
TRF-50065,CUST-1142,EXT-IBAN-346,28506.39,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-14 09:56:21
TRF-50066,CUST-1112,CUST-1068,17672.07,AED,SUCCESS,P2P,GIFT,2026-05-30 22:01:21
TRF-50067,CUST-1216,CUST-1224,26738.54,AED,SUCCESS,P2P,SPLIT_BILL,2026-05-28 14:42:21
TRF-50068,CUST-1242,CUST-1048,18447.33,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-19 08:29:21
TRF-50069,CUST-1206,EXT-IBAN-933,8848.28,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-08 15:16:21
TRF-50070,CUST-1234,EXT-IBAN-164,11893.81,AED,SUCCESS,IBAN,RENT,2026-06-06 17:59:21
TRF-50071,CUST-1026,CUST-1192,11542.72,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-24 19:08:21
TRF-50072,CUST-1299,CUST-1290,10733.29,AED,INITIATED,P2P,RENT,2026-06-17 07:11:21
TRF-50073,CUST-1298,EXT-IBAN-464,19198.8,AED,SUCCESS,IBAN,SALARY,2026-05-29 03:41:21
TRF-50074,CUST-1047,EXT-IBAN-931,1397.19,AED,SUCCESS,IBAN,PROPERTY,2026-06-22 06:22:21
TRF-50075,CUST-1175,CUST-1171,21674.09,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-23 01:41:21
TRF-50076,CUST-1281,EXT-IBAN-996,4263.42,AED,SUCCESS,IBAN,PROPERTY,2026-05-27 20:14:21
TRF-50077,CUST-1240,CUST-1153,28703.23,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-18 09:46:21
TRF-50078,CUST-1042,EXT-IBAN-487,14491.94,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-17 04:42:21
TRF-50079,CUST-1133,CUST-1058,17671.39,AED,SUCCESS,P2P,PROPERTY,2026-06-02 02:18:21
TRF-50080,CUST-1032,EXT-IBAN-318,20661.7,AED,SUCCESS,IBAN,GIFT,2026-05-29 07:26:21
TRF-50081,CUST-1225,EXT-IBAN-349,13091.63,AED,SUCCESS,IBAN,PROPERTY,2026-06-02 19:30:21
TRF-50082,CUST-1026,EXT-IBAN-614,21706.45,AED,SUCCESS,IBAN,RENT,2026-06-15 11:46:21
TRF-50083,CUST-1105,CUST-1159,9770.95,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-08 18:33:21
TRF-50084,CUST-1211,EXT-IBAN-647,3161.35,AED,SUCCESS,IBAN,RENT,2026-05-30 00:02:21
TRF-50085,CUST-1233,CUST-1280,18473.43,AED,SUCCESS,P2P,SALARY,2026-06-21 03:48:21
TRF-50086,CUST-1065,EXT-IBAN-408,13651.54,AED,SUCCESS,IBAN,RENT,2026-06-01 10:38:21
TRF-50087,CUST-1219,CUST-1073,19713.54,AED,SUCCESS,P2P,SALARY,2026-06-08 19:30:21
TRF-50088,,EXT-IBAN-283,1045.55,AED,SUCCESS,IBAN,FAMILY_SUPPORT,2026-06-24 01:23:21
TRF-50089,CUST-1171,EXT-IBAN-995,20756.9,AED,SUCCESS,IBAN,SALARY,2026-06-23 09:21:21
TRF-50090,CUST-1070,EXT-IBAN-950,-1,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-21 12:05:21
TRF-50091,CUST-1209,CUST-1206,3137.75,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-07 12:54:21
TRF-50092,CUST-1048,CUST-1009,12083.77,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-06-06 06:28:21
TRF-50093,CUST-1069,CUST-1065,8372.37,AED,SUCCESS,P2P,SPLIT_BILL,2026-06-22 23:31:21
TRF-50094,CUST-1090,CUST-1094,11364.53,AED,INITIATED,P2P,GIFT,2026-06-25 01:14:21
TRF-50095,CUST-1058,CUST-1038,7717.98,AED,SUCCESS,P2P,FAMILY_SUPPORT,2026-05-26 15:41:21
TRF-50096,CUST-1116,CUST-1098,10940.34,AED,SUCCESS,P2P,RENT,2026-06-22 00:27:21
TRF-50097,CUST-1081,CUST-1109,17951.26,AED,SUCCESS,P2P,RENT,2026-05-31 09:02:21
TRF-50098,CUST-1110,EXT-IBAN-229,15042.89,AED,SUCCESS,IBAN,SPLIT_BILL,2026-06-02 03:56:21
TRF-50099,CUST-1002,EXT-IBAN-912,17530.31,AED,SUCCESS,IBAN,RENT,2026-05-29 16:45:21
TRF-50100,CUST-1298,CUST-1027,7463.14,AED,FAILED,P2P,RENT,2026-06-04 14:07:21
TRF-50101,CUST-1124,EXT-IBAN-740,17206.81,AED,SUCCESS,IBAN,SALARY,2026-06-23 08:27:21
TRF-50102,CUST-1118,EXT-IBAN-950,25053.43,AED,SUCCESS,IBAN,SPLIT_BILL,2026-05-27 10:45:21
